log_y_lote,region
-1.520718,"2B"
-1.049796,"2B"
-.9641399,"2B"
-.1657489,"2B"
.4440766,"2B"
1.799366,"2B"
-1.307942,"2B"
3.867172,"1B"
2.823312,"1B"
4.50553,"1B"
1.208626,"1B"
.7961594,"1B"
1.30951,"1B"
.1424279,"1B"
4.917591,"1B"
4.652664,"1B"
-.8768153,"1B"
.2753184,"1B"
2.340382,"1B"
4.685099,"1B"
3.696815,"1B"
1.553724,"1B"
2.455778,"1B"
-.5479634,"1B"
2.712852,"1B"
3.329443,"1B"
2.2391,"1B"
2.018376,"1B"
2.72589,"1B"
4.487277,"1B"
-.0317487,"1B"
-.9646751,"1B"
.3155988,"1B"
3.446763,"1B"
.8836435,"1B"
2.414323,"1B"
-.0267927,"1B"
1.83169,"1B"
1.83169,"1B"
2.081957,"1B"
4.503379,"1B"
.949536,"1B"
-.2794017,"1B"
3.153039,"1B"
3.936435,"1B"
1.155601,"1B"
5.980621,"1B"
1.18723,"1B"
4.67107,"1B"
4.418989,"1B"
2.370178,"1B"
-1.494129,"1B"
2.287257,"1B"
3.545084,"1B"
1.344433,"1B"
2.209668,"1B"
1.233603,"1B"
.8895072,"1B"
2.341238,"1B"
1.464054,"1B"
3.25606,"1B"
2.230897,"1B"
.1399097,"1B"
.8322263,"1B"
1.400439,"1B"
3.426381,"1B"
2.84166,"1B"
2.874954,"1B"
.8187088,"1B"
3.33244,"1B"
5.090414,"1B"
1.500647,"1B"
1.696032,"1B"
1.448534,"1B"
2.428213,"1B"
.7242001,"1B"
.7136456,"1B"
1.226827,"1B"
.0611139,"1B"
1.488194,"1B"
2.677715,"1B"
1.487128,"1B"
.4715711,"1B"
3.753041,"1B"
3.554937,"1B"
.6126852,"1B"
.5725489,"1B"
.4038972,"1B"
.7882119,"1B"
.6279631,"1B"
1.751796,"1B"
1.3071,"1B"
2.964515,"1B"
1.404773,"1B"
1.288158,"1B"
1.735177,"1B"
1.86531,"1B"
1.739123,"1B"
1.271697,"1B"
3.901643,"1B"
1.383031,"1B"
1.967097,"1B"
2.939707,"1B"
1.460137,"1B"
2.355803,"1B"
4.501356,"1B"
-.4786683,"1B"
-.3509556,"1B"
1.794811,"1B"
1.396007,"1B"
1.007772,"1B"
1.8565,"1B"
.7976063,"1B"
3.16518,"1B"
.689621,"1B"
2.230556,"1B"
1.543181,"1B"
2.528413,"1B"
1.33024,"1B"
3.93905,"1B"
-.0118641,"1B"
3.043803,"1B"
1.028025,"1B"
2.793427,"1B"
1.217524,"1B"
.5777026,"1B"
1.443433,"1B"
4.354682,"1B"
3.961122,"1B"
1.935554,"1B"
2.482913,"1B"
1.422209,"1B"
3.153317,"1B"
2.631953,"1B"
5.023828,"1B"
2.689282,"1B"
-.0443815,"1B"
1.737868,"1B"
2.700858,"1B"
2.615079,"1B"
2.642416,"1B"
2.211956,"1B"
1.131999,"1B"
1.427163,"1B"
1.405163,"1B"
.8614332,"1B"
1.958132,"1B"
4.829905,"1B"
6.108025,"1B"
2.094134,"1B"
4.02061,"1B"
3.101686,"1B"
1.502512,"1B"
1.996204,"1B"
3.004717,"1B"
1.028372,"1B"
-4.414219,"1B"
2.2855,"1B"
1.9254,"1B"
1.047863,"1B"
3.707718,"1B"
1.811639,"1B"
3.887614,"1B"
1.913892,"1B"
3.209851,"1B"
1.343483,"1B"
3.305809,"1B"
.3363365,"1B"
1.518149,"1B"
1.244241,"1B"
2.930948,"1B"
3.535445,"1B"
2.221866,"1B"
2.7455,"1B"
1.567127,"1B"
.2537814,"1B"
4.979709,"1B"
5.021852,"1B"
2.650393,"1B"
4.090424,"1B"
3.843316,"1B"
3.704,"1B"
1.66266,"1B"
1.308595,"1B"
2.655781,"1B"
.3544595,"1B"
1.794933,"1B"
.4498456,"1B"
2.022575,"1B"
1.917215,"1B"
1.356907,"1B"
1.318896,"1B"
2.978606,"1B"
.8276737,"1B"
1.015444,"1B"
-.9013726,"1B"
2.530103,"1B"
2.768919,"1B"
2.456807,"1B"
.7736575,"1B"
.3743253,"1B"
-.4018621,"1B"
