"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",NA,NA,NA,4.906665,8.73925,1.742318,1.84584144144144,2.6768625,15.6731967213115,16.1092857142857
"2",NA,3.26728,NA,NA,NA,NA,24.51927,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,17.78189625,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,30.4206434782609,NA,NA,13.4287268333937,NA,13.3243680895916,29.7320441441441
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,51.2283166666667,30.5269996470588,NA,15.3036678947368,6.17332763819095,14.9023115384615,NA,4.70108654460913
"8",NA,NA,12.1899508859649,22.66338,NA,NA,NA,NA,NA,9.37218355276253
"9",NA,NA,NA,NA,NA,28.3954,NA,NA,10.0464803734283,27.0962302287582
"10",NA,35.5879106730769,2.7452279375848,12.2774118990385,7.18079711864407,14.0225070422535,31.0301676175869,22.58374116615,11.9753979485286,19.8324632262914
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,22.3081167521368,26.4069532608696,NA,NA,29.9056073770492,NA,3.86322345349355,15.03776
"13",NA,NA,NA,9.26783797297297,11.5770199335548,31.9432787356322,24.5821570053065,NA,11.8632915397307,34.6448943952802
"14",NA,NA,26.2009068181818,25.4076,25.5373083333333,NA,24.5294455637708,NA,NA,25.9541990740741
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,24.9369724637681,NA,NA,NA,28.4608,NA,NA,NA
"18",NA,NA,NA,9.91010111111111,52.23972,4.69810367424242,6.003708331344,21.2441521039604,13.0189930244406,16.9984685932602
"19",NA,NA,17.4765897142857,28.5509294117647,16.9400755106383,14.6901063492063,21.6949489681503,58.2642832553789,5.92656157238606,13.3898835200246
"20",NA,NA,6.86018585164835,10.3153923076923,NA,NA,14.6056502570878,17.1383706363891,14.0200522400072,10.5278853568596
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,13.6736333333333,NA,11.5511823529412,2.92583333333333,5.8631296875,12.6135285714286,7.41515885167464,3.84102275334608,NA
"23",NA,NA,NA,NA,NA,NA,38.1697522564581,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,11.25595,6.03219407114625,34.3937901960784,8.79217777777778,9.00959971671388
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,8.46133333333333,7.12719230769231,NA,6.8411,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",9.04795652173913,9.69510208333333,7.75532933333333,0.195264411764706,NA,8.119812,13.1170688705234,NA,5.11214851752022,7.30854666666667
"30",NA,NA,17.8520909090909,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,26.6556333333333,1.78250882352941,24.5864831804281,14.9591726708075,6.70397297297297,5.507792
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,3.081728,NA,9.416875,10.1003965517241,9.911875,14.0080460251046,15.99512,1.95859677419355,NA
"38",NA,NA,7.3743514893617,NA,NA,NA,13.9294333333333,7.863725,3.69324024767802,0.638706666666667
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
