"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",NA,NA,NA,4.906665,8.73925,1.742318,1.84584144144144,2.6768625,15.6731967213115,8.62543481012658
"2",NA,3.97516666666667,NA,6.0382,NA,6.5787,18.1604375,11.14494,NA,NA
"3",NA,NA,6.56093991666667,5.95738447761194,13.0896896503497,7.84319019493177,22.1181919290123,17.0773462787832,6.21579935420744,4.54665926829268
"4",NA,NA,9.95065997866287,19.5206593333333,NA,2.77643833333333,NA,16.0584184126984,NA,20.4692558061485
"5",NA,15.6229444472574,6.83225841170324,29.4817545454545,15.8038107692308,NA,17.7416406604421,7.48812766343042,8.2454722883059,17.2897494993167
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,21.7855062296151,31.7434475595238,51.8328669852331,16.3292097359736,10.8932144698547,17.2339987091723,17.2326452995351,16.4907595596731
"8",NA,NA,13.2873920284553,7.79401012093023,7.63290933877274,29.1259553763441,12.2439892857143,23.293121179993,24.2519801868297,12.2001414280628
"9",NA,NA,27.124553,26.0833224761905,11.4379058441558,20.1829931707317,18.3153500091324,NA,33.9724369960971,23.2788425607426
"10",NA,42.9298467445055,10.0197831406796,13.0048924861419,21.9666509663283,19.2235970386982,32.2828068136537,27.8354582434497,14.3876860205642,20.4120872336329
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,34.7335856788583,27.2127284893268,NA,NA,33.6661119635491,NA,21.0620127882622,14.8627920296154
"13",NA,NA,NA,25.5557362903226,11.5770199335548,26.9618345409292,24.3458670547957,NA,21.3043408234219,8.26196768592548
"14",NA,NA,17.6886790849247,10.9780851049667,10.5727779144385,10.4720832065713,13.7047442623857,18.9605116431197,7.77675728681005,13.3067673525066
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,12.0871746315789,14.6968197727273,23.5493965530303,24.6430524374177,16.160473541384,26.1690055773336,29.0438104843345,28.8461691734622
"17",NA,42.900346031746,20.5310538461538,NA,NA,11.0573586287826,31.3370320574163,NA,12.0085512006981,NA
"18",NA,17.1212655347332,33.4561244827586,13.3120557115385,18.4556878996283,10.4389224471051,29.7707342248237,22.8358593352615,29.5061536025414,13.273682187031
"19",NA,NA,29.3217111599099,17.6563008695652,24.3797971298701,23.4545567014517,22.1948455868179,50.5367562801961,7.32441701136511,18.1722841539235
"20",NA,NA,4.66891362244898,16.1564094550129,33.3170880222841,17.2503545971564,19.0808912890629,20.3705091729745,12.1626186133161,9.17029534716981
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
