"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V1",2717.1,4.96056666666667,7382632.41,98
"V2",2735.4,31.2573,7482413.16,93
"V3",2705.6,1.12443846153846,7320271.36,93
"V3",2320.3,4.81790445859873,5383792.09,-53
"V4",2318.3,11.5821702422145,5374514.89,36.363321799308
"V5",2263.3,13.7674005979073,5122526.89,27.1001494768311
"V6",2267.2,16.191377,5140195.84,35.4
"V8",2230.6,11.6936941118744,4975576.36,61.9578017664377
"V9",2295.5,6.40101111111111,5269320.25,14.8888888888889
"V10",2116.4,53.1191397849462,4479148.96,49
"V3",2104.8,22.190598220339,4430183.04,NA
"V7",1998.4,14.3935192857143,3993602.56,NA
"V9",1963.9,15.4703949912496,3856903.21,NA
"V10",2099,20.9277441837077,4405801,NA
"V4",2297.7,10.6752615384615,5279425.29,NA
"V9",2176.7,6.56977123786408,4738022.89,NA
"V10",2216.7,9.95820027874564,4913758.89,NA
"V8",2789.5,10.1245953757225,7781310.25,78
"V9",2883.2,23.8575294117647,8312842.24,66.2235294117647
"V5",2150.6,12.4276761904762,4625080.36,NA
"V6",2059.3,8.02762006369427,4240716.49,NA
"V5",2224.8,27.1517393939394,4949735.04,NA
"V7",2114.1,41.1561257978723,4469418.81,NA
"V8",2363.8,21.9196944268775,5587550.44,NA
"V9",2136.1,41.6772350782609,4562923.21,NA
"V10",2122.2,24.9564592809978,4503732.84,NA
"V9",2101.5,8.40190512820513,4416302.25,NA
"V10",2148.6,13.4810993103172,4616481.96,NA
"V3",2257.4,25.5580408786299,5095854.76,NA
"V4",2309.1,28.9957193548387,5331942.81,NA
"V5",2359.6,19.0107181270903,5567712.16,NA
"V6",2178.8,15.8121453142498,4747169.44,NA
"V7",2145.5,29.53444910417,4603170.25,NA
"V8",2478.3,19.990449639992,6141970.89,NA
"V9",2149.5,13.7519162270031,4620350.25,NA
"V10",2282.4,13.0881897572595,5209349.76,NA
"V1",2543.3,12.9944436363636,6468374.89,34.7939393939394
"V2",2521,24.7729882758621,6355441,-2.41379310344828
"V3",2536.2,24.0099619302949,6432310.44,-43.7613941018767
"V4",2540.3,11.4973048951049,6453124.09,-54.972027972028
"V6",2449.9,20.0884342412451,6002010.01,-36.5766536964981
"V7",2348.2,16.1355020334388,5514043.24,-48.9701762313601
"V8",2490.6,12.4998203429724,6203088.36,-3.74848688634835
"V9",2544.5,10.8438758099352,6474480.25,40.996400287977
"V10",2444,17.62549459799,5973136,-10.5033500837521
"V3",2231.5,19.4967270204028,4979592.25,NA
"V4",2287,33.3501454036771,5230369,NA
"V7",2170.4,45.4646656571974,4710636.16,NA
"V8",2378.6,60.2086555555556,5657737.96,NA
"V3",2020.8,18.1344733333333,4083632.64,NA
"V5",2075.1,22.0256143886044,4306040.01,NA
"V7",1828,39.8304354037267,3341584,NA
"V8",2158.1,38.4242177208213,4657395.61,NA
"V9",1838.8,11.0235752101507,3381185.44,NA
"V10",1932.7,17.852794937062,3735329.29,NA
"V5",2332.3,56.0005189393939,5439623.29,NA
"V7",2139,32.3286859291698,4575321,NA
"V8",2371,39.0943945849368,5621641,NA
"V10",2154.9,29.4775673187572,4643594.01,NA
"V4",2375.5,22.9841107142857,5643000.25,NA
"V9",2231,24.8810928387996,4977361,NA
"V10",2315.3,47.067991643201,5360614.09,NA
"V5",1942,10.9354833333333,3771364,NA
