"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V5",1525.7,8.346,2327760.49,6
"V6",1554.9,1.043355,2417714.01,-18
"V7",1397.7275862069,6.0784,1953642.40524376,123.571428571429
"V4",1659.5,20.621625,2753940.25,7
"V6",1656.79310344828,1.058915,2744963.38763377,-30
"V7",2091.8,15.8769657407407,4375627.24,NA
"V9",2317.03571428571,37.7366792840376,5368654.50127551,NA
"V10",2179.8,38.4741384144376,4751528.04,NA
"V5",1830.65862068965,37.5455102702703,3351310.98550535,NA
"V6",1901.7,17.6287660358566,3616462.89,NA
"V7",1706.5,40.0675640720935,2912142.25,NA
"V8",1737.05862068966,33.8480316455696,3017372.65171225,NA
"V4",2186.44074986316,27.0262948275862,4780523.15266219,NA
"V5",2168.67389162562,23.6829066003866,4703146.44821859,NA
"V6",2189.1,38.9398384074942,4792158.81,NA
"V7",2123.02681992337,34.3704992673993,4507242.87811395,NA
"V8",2149.8,29.8183160529905,4621640.04,NA
"V9",2326.3,22.4566433333333,5411671.69,NA
"V3",2624.49655172414,26.7838642857143,6887982.15001189,NA
"V3",2734.88275862069,15.1335886287625,7479583.70340071,NA
"V4",2743.63571428571,23.2335376923077,7527536.93270408,NA
"V10",2618.8,11.5536441252276,6858113.44,NA
"V3",2231.06904761905,23.5492555555556,4977669.09524376,NA
"V4",2248.40369458128,17.3614657575758,5055319.17380675,NA
"V9",2368.47931034483,17.6523886974299,5609694.24353151,NA
"V10",2178.2,36.3350133142202,4744555.24,NA
"V4",1476.31724137931,29.2307590909091,2179512.59719382,NA
"V6",1528.38177339901,16.3499323232323,2335950.84525832,NA
"V8",1403.9,28.9765503927702,1970935.21,NA
"V5",2452.4,31.5857470588235,6014265.76,NA
"V6",2495.3,16.1503490659341,6226522.09,NA
"V7",2327.1,25.296840582182,5415394.41,NA
"V8",2371.5,16.9602520072019,5624012.25,NA
"V10",2325.91724137931,16.8493261337593,5409891.01374554,NA
"V2",2128.9,6.874075,4532215.21,-167.785714285714
"V3",2141,4.40039863713799,4583881,-339.437819420784
"V4",2090.03448275862,1.68567368421053,4368244.13912009,-423
"V5",2099.1,0.401983333333333,4406220.81,-301
"V6",2102.05,13.5245,4418614.2025,-86
"V2",2566.5,3.70375,6586922.25,-141
"V5",2576.5,4.835856,6638352.25,15.08
"V6",2559.14482758621,2.51911,6549222.24856124,40
"V10",2484.9,4.14001489361702,6174728.01,-180.063829787234
"V8",1718.6,2.88603448275862,2953585.96,-348
"V9",1970.9,7.311995256917,3884446.81,-296.118577075099
"V10",1989.65357142857,4.51078651252408,3958721.33429847,-293.633911368015
"V2",2670.15418719212,0.04084,7129723.3833796,43
"V2",2414.6724137931,11.0845555555556,5830642.86593341,51
"V3",2403.2,4.05482,5775370.24,75.75
"V7",2003.85357142857,6.96140909090909,4015429.13572704,41
"V8",1964.3,3.34592988505747,3858474.49,69.0919540229885
"V10",2038.2,3.78580818181818,4154259.24,49.2727272727273
"V4",1779.31034482759,13.5846707142857,3165945.30321046,NA
"V6",2621.9,11.3318136590038,6874359.61,NA
"V7",2444.3,35.3219010383174,5974602.49,NA
"V8",2509.2,34.1948183038874,6296084.64,NA
"V10",2532.5,38.9786958425313,6413556.25,NA
"V5",2030.3,16.8841922463768,4122118.09,NA
"V7",1830.71206896552,11.3730903157256,3351506.679456,NA
"V8",1827.82142857143,5.2779063174114,3340931.1747449,NA
"V9",2042.2,5.54330990736624,4170580.84,NA
"V10",1793,8.72232160943383,3214849,NA
"V6",2013,3.22029338842975,4052169,90.3719008264463
"V7",1993.99655172414,6.43803365384615,3976022.24828775,68.1538461538462
"V9",1815.2,2.56109333333333,3294951.04,31.443137254902
"V10",1770.3,10.4532141652614,3133962.09,-25.4030354131535
"V2",2085.8,20.75614,4350561.64,-381
"V7",1934.1,8.71849875311721,3740742.81,-422.750623441397
"V1",2576.8,6.80655078683834,6639898.24,184.904148783977
"V3",2564.3,10.9877367288379,6575634.49,171.417503586801
"V4",2627.5,24.7854606423034,6903756.25,261.161683277962
"V5",2615.9,4.25827243119266,6842932.81,277.545871559633
"V6",2522.67586206897,26.4578433060109,6363893.5050654,188.010928961749
"V7",2476.6,21.7220590560472,6133547.56,241.218879056047
"V8",2404.7,7.65444846693757,5782582.09,269.112670853343
"V9",2612.25862068966,10.8822727272727,6823895.10136742,386
"V2",1949.71527093596,8.39154317241379,3801389.63772089,-134.029885057471
"V3",1901,19.4584309219858,3613801,-257.340425531915
