"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V6",1554.9,1.043355,2417714.01,-18
"V4",2186.44074986316,26.8420654761905,4780523.15266219,NA
"V2",2128.9,7.972475,4532215.21,-96.5
"V3",2141,4.87226666666667,4583881,55
"V2",2566.5,3.70375,6586922.25,-141
"V5",2576.5,4.48383333333333,6638352.25,92
"V10",2484.9,4.14001489361702,6174728.01,-180.063829787234
"V10",1989.65357142857,2.6622625,3958721.33429847,-244
"V7",2003.85357142857,6.96140909090909,4015429.13572704,41
"V10",2038.2,0.927465,4154259.24,48
"V7",2444.3,26.2986428571429,5974602.49,NA
"V8",2509.2,21.1149848275862,6296084.64,NA
"V10",1793,9.71483842732509,3214849,NA
"V9",1815.2,2.90728410596026,3294951.04,9.19205298013245
"V10",1770.3,9.62225,3133962.09,69
"V1",2576.8,1.06418181818182,6639898.24,204
"V3",2564.3,13.5056973434535,6575634.49,160.888045540797
"V4",2627.5,12.6302359183673,6903756.25,125.081632653061
"V5",2615.9,0.514846,6842932.81,64
"V6",2522.67586206897,14.9792110311751,6363893.5050654,63.9400479616307
"V7",2476.6,12.0146155988858,6133547.56,81.5654596100279
"V2",1949.71527093596,4.80806070038911,3801389.63772089,-32.0972762645914
"V3",1901,9.6164184,3613801,31.48
"V6",1965.8,0.0884213793103448,3864369.64,-149
"V5",2089.5,15.6055226190476,4366010.25,NA
"V2",2374.4,12.5864316546763,5637775.36,69.136690647482
"V3",2376.5,0.161820588235294,5647752.25,22
"V7",2205.6,0.161089156626506,4864671.36,175
"V8",2271.9,2.14166538461538,5161529.61,141
"V10",2157.7,5.43787866894198,4655669.29,-36.4658703071672
"V4",2082.1,10.1898267857143,4335140.41,97.3571428571429
"V5",1934.9,6.085914375,3743838.01,56.6875
"V6",1941.4,2.46808076923077,3769033.96,35
"V7",1910.1,0.856360666666667,3648482.01,102.333333333333
"V4",2501.7,39.9746875,6258502.89,34
"V6",2429.7,17.493746440678,5903442.09,158.347457627119
"V7",2289.2,15.1717298263534,5240436.64,163.086823289071
"V8",2448.1,28.364463878327,5993193.61,89.9847908745247
"V7",2294.9,0.007626,5266566.01,-45
"V1",2142.8,7.62376285714286,4591591.84,-32.1428571428571
"V2",2030.3,46.1159090909091,4122118.09,-76
"V3",2038.5,17.2514048192771,4155482.25,-18.4578313253012
"V4",2049.4,12.1656379310345,4200040.36,-35.8965517241379
"V5",2006.9,3.00520588235294,4027647.61,-44
"V6",2022,6.56901265822785,4088484,-44
"V9",2076.3,9.17399910438542,4311021.69,-23.8678196417542
"V10",1932.9,21.2662368768571,3736102.41,-54.5434136678772
"V4",2318.3,14.7839075,5374514.89,36.75
"V5",2263.3,9.03721348314607,5122526.89,90
"V6",2267.2,16.4240666666667,5140195.84,55.4
"V7",2023,28.3711590909091,4092529,-125
"V8",2230.6,10.9664705882353,4975576.36,28
"V3",2104.8,29.706173220339,4430183.04,NA
"V9",1963.9,21.461417,3856903.21,NA
"V10",2099,21.8944584834896,4405801,NA
"V4",2297.7,13.8849783333333,5279425.29,NA
"V8",2363.8,16.5761031746032,5587550.44,NA
"V9",2136.1,35.3885565631616,4562923.21,NA
"V10",2122.2,17.8225043266769,4503732.84,NA
"V9",2101.5,9.17705673469388,4416302.25,NA
"V10",2148.6,8.63583399750934,4616481.96,NA
"V5",2359.6,14.385689122807,5567712.16,NA
"V6",2178.8,14.8324332586284,4747169.44,NA
"V7",2145.5,38.2796067407182,4603170.25,NA
"V8",2478.3,15.2020875865021,6141970.89,NA
"V1",2543.3,14.801170212766,6468374.89,64.9574468085106
"V2",2521,14.2309361702128,6355441,-47.7872340425532
"V3",2536.2,20.6782029598309,6432310.44,-55.2885835095137
"V6",2449.9,26.6280958083832,6002010.01,-51
"V7",2348.2,11.4782285447761,5514043.24,-55.7014925373134
"V8",2490.6,9.57037537537538,6203088.36,-16.3983983983984
"V9",2544.5,13.6740272401434,6474480.25,12.7182795698925
"V10",2444,18.9839824870466,5973136,22.8435233160622
"V3",2231.5,17.1564348668281,4979592.25,NA
"V4",2287,47.5802966507177,5230369,NA
"V5",2075.1,15.3906546428571,4306040.01,NA
"V8",2158.1,55.8741925171018,4657395.61,NA
"V4",2375.5,22.9841107142857,5643000.25,NA
"V5",2370.7,7.02080048611111,5620218.49,NA
"V6",2289.6,6.35666726190476,5242268.16,NA
"V8",2541.8,7.85575681818182,6460747.24,NA
"V1",2481.3,9.6460602739726,6156849.69,79.6438356164384
"V2",2457.8,9.56272727272727,6040780.84,-30
"V6",2415.7,36.1278578979467,5835606.49,-29.3636918072779
"V7",2268.1,28.3548879248012,5144277.61,4.03687635574837
"V8",2395.3,27.6770534429599,5737462.09,-26.0006851661528
"V9",2465.2,23.5989543859649,6077211.04,21.5052631578947
"V10",2298,13.1625170178282,5280804,24.6239870340357
"V5",2165.3,11.2564285714286,4688524.09,NA
"V3",2540.6,23.8933475177305,6454648.36,NA
"V5",2659,10.5649753246753,7070281,NA
"V7",2472.7,26.9780344387755,6114245.29,NA
"V8",2736.2,25.7995270335589,7486790.44,NA
"V3",2251.3,8.3398,5068351.69,-158
"V5",2192.9,5.04647777777778,4808810.41,-37
"V8",2174.3,6.20568292682927,4727580.49,-37
"V9",2244.3,0.263237162162162,5036882.49,-39.027027027027
"V10",2116.2,2.620475,4478302.44,-33
"V3",2170.9,7.239438,4712806.81,NA
"V7",1943.2,3.65942567567568,3776026.24,-239
"V9",2232.5,1.5033625,4984056.25,-74.5
"V10",2057.4,16.99706,4232894.76,-202
