"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V5",1525.7,8.346,2327760.49,6
"V6",1554.9,1.043355,2417714.01,-18
"V7",1397.7275862069,9.43333333333333,1953642.40524376,83
"V4",1659.5,20.621625,2753940.25,7
"V6",1656.79310344828,1.058915,2744963.38763377,-30
"V10",1693.4,24.6113913043478,2867603.56,11
"V9",2606.21330049261,15.91256,6792347.76766459,NA
"V6",2305.7224137931,22.5892938356996,5316355.84946789,NA
"V7",2091.8,28.9817287489102,4375627.24,NA
"V9",2317.03571428571,26.2726101180877,5368654.50127551,NA
"V10",2179.8,26.6344866499211,4751528.04,NA
"V5",1830.65862068965,70.7625463768116,3351310.98550535,NA
"V6",1901.7,16.5775758088235,3616462.89,NA
"V7",1706.5,18.4853850230415,2912142.25,NA
"V8",1737.05862068966,36.2627954956641,3017372.65171225,NA
"V4",2186.44074986316,26.0215830687831,4780523.15266219,NA
"V8",2149.8,8.12300808080808,4621640.04,NA
"V9",2733.6662835249,12.2503341150885,7472931.34968086,NA
"V8",2251.2,8.67212121212121,5067901.44,NA
"V4",2461.6,41.22075,6059474.56,NA
"V5",2452.4,42.7645191176471,6014265.76,NA
"V6",2495.3,23.6056555555556,6226522.09,NA
"V8",2371.5,29.6723203703704,5624012.25,NA
"V10",2325.91724137931,24.0767888888889,5409891.01374554,NA
"V2",2128.9,11.9675390909091,4532215.21,-50.2727272727273
"V3",2141,5.95668666666667,4583881,-1
"V4",2090.03448275862,2.3992975,4368244.13912009,-62
"V6",2102.05,13.5245,4418614.2025,-86
"V9",2071.4,7.90030769230769,4290697.96,-6.14027149321267
"V5",2576.5,4.835856,6638352.25,15.08
"V6",2559.14482758621,2.51911,6549222.24856124,40
"V7",2590.5,5.38205,6710690.25,-22
"V8",2533,3.52924095238095,6416089,50.7619047619048
"V10",1989.65357142857,2.01884,3958721.33429847,-4
"V2",2670.15418719212,0.04084,7129723.3833796,43
"V3",2706.81354679803,14.0422357142857,7326839.57712933,-3.33333333333333
"V5",2543.4,0.65759,6468883.56,14
"V6",2481.8,2.27353,6159331.24,-44
"V2",2414.6724137931,7.76742814814815,5830642.86593341,18.9259259259259
"V3",2403.2,5.02148602620087,5775370.24,-0.91703056768559
"V7",2442.2,9.59434615384615,5964340.84,61
"V9",2383.3,0.176842,5680118.89,0
"V10",2351.0381773399,9.99228169398907,5527380.51130973,-44.7021857923497
"V7",2003.85357142857,6.96140909090909,4015429.13572704,41
"V8",1964.3,3.87780967741935,3858474.49,43.3225806451613
"V10",2038.2,2.021749,4154259.24,41.6
"V3",1791.76206896552,22.3441303560893,3210411.31178359,NA
"V4",1779.31034482759,17.5038995193591,3165945.30321046,NA
"V7",1851.7,31.1771572141561,3428792.89,NA
"V9",2117.7,3.5697451754386,4484653.29,NA
"V4",2627.3,30.210093770279,6902705.29,NA
"V6",2621.9,11.4994902665688,6874359.61,NA
"V7",2444.3,37.9764396810681,5974602.49,NA
"V8",2509.2,35.2627509151257,6296084.64,NA
"V9",2693.9,8.44499311747881,7257097.21,NA
"V10",2532.5,35.1723423498341,6413556.25,NA
"V7",1830.71206896552,14.7925316022544,3351506.679456,NA
"V9",2042.2,6.31999340077765,4170580.84,NA
"V10",1793,8.98145005513891,3214849,NA
"V5",2112.74297082228,3.76193076923077,4463682.86075896,51.6923076923077
"V6",2013,5.36272801358234,4052169,25.9354838709677
"V7",1993.99655172414,6.18433116760829,3976022.24828775,1.03578154425612
"V9",1815.2,3.95434917355372,3294951.04,-7.33471074380166
"V10",1770.3,10.4478460410557,3133962.09,-22.574780058651
"V3",2021,1.5399,4084441,33
"V4",2040.25384615385,10.6064545454545,4162635.75674556,-4.09090909090909
"V5",2055.4,4.10115,4224669.16,46
"V6",2006.7,7.9055751138088,4026844.89,-0.591805766312595
"V7",1934.1,21.9601389728097,3740742.81,-22.6374622356495
"V8",1845.8,2.61407263157895,3406977.64,14.8147368421053
"V9",2025.9,15.174326579261,4104270.81,57.611442193087
"V10",1960.7,9.63261840324763,3844344.49,47.4479025710419
"V3",2564.3,12.9962633333333,6575634.49,-8.53333333333333
"V4",2627.5,20.9617677477477,6903756.25,53.2522522522523
"V5",2615.9,0.167658623853211,6842932.81,-74.8440366972477
"V6",2522.67586206897,15.7337333333333,6363893.5050654,26.4948717948718
"V7",2476.6,10.3888908188586,6133547.56,28.4081885856079
"V8",2404.7,3.4939233463035,5782582.09,42.6809338521401
