"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V5",1525.7,8.346,2327760.49,6
"V6",1554.9,1.043355,2417714.01,-18
"V7",1397.7275862069,6.0784,1953642.40524376,123.571428571429
"V4",1659.5,20.621625,2753940.25,7
"V6",1656.79310344828,1.058915,2744963.38763377,-30
"V8",1522.6,0.9659375,2318310.76,115
"V9",1648.34285714286,9.566175,2717034.17469388,189
"V10",1693.4,24.6113913043478,2867603.56,11
"V9",2606.21330049261,15.222683962704,6792347.76766459,NA
"V6",2305.7224137931,23.2987049129353,5316355.84946789,NA
"V7",2091.8,28.9817287489102,4375627.24,NA
"V9",2317.03571428571,29.7139958819756,5368654.50127551,NA
"V10",2179.8,28.6525793411156,4751528.04,NA
"V5",1830.65862068965,36.4174432760364,3351310.98550535,NA
"V6",1901.7,16.6592388198298,3616462.89,NA
"V7",1706.5,27.2465904381886,2912142.25,NA
"V8",1737.05862068966,33.639152425411,3017372.65171225,NA
"V4",2186.44074986316,28.9861038461538,4780523.15266219,NA
"V5",2168.67389162562,30.1794863290005,4703146.44821859,NA
"V6",2189.1,37.2016988416988,4792158.81,NA
"V7",2123.02681992337,34.808277111456,4507242.87811395,NA
"V8",2149.8,28.0561774025974,4621640.04,NA
"V9",2326.3,23.8002604761905,5411671.69,NA
"V3",2624.49655172414,19.8473248120301,6887982.15001189,NA
"V9",2733.6662835249,12.6804549315754,7472931.34968086,NA
"V3",2734.88275862069,12.07574,7479583.70340071,NA
"V4",2743.63571428571,18.0276380952381,7527536.93270408,NA
"V3",2231.06904761905,23.5492555555556,4977669.09524376,NA
"V4",2248.40369458128,16.7987391666667,5055319.17380675,NA
"V6",2278.1,11.9702207142857,5189739.61,NA
"V7",2250.4,20.1642028571429,5064300.16,NA
"V8",2251.2,8.67212121212121,5067901.44,NA
"V9",2368.47931034483,11.9869507246377,5609694.24353151,NA
"V10",2178.2,11.4089879468846,4744555.24,NA
"V3",2392.41111111111,26.3689531683168,5723630.9245679,NA
"V4",1476.31724137931,29.2213045454545,2179512.59719382,NA
"V7",1414.8,46.6101489446436,2001659.04,NA
"V8",1403.9,18.8540431020877,1970935.21,NA
"V3",2483.89655172414,18.0666844393593,6169742.07966706,NA
"V4",2461.6,14.3545693877551,6059474.56,NA
"V5",2452.4,29.4461625386997,6014265.76,NA
"V6",2495.3,18.2448546511628,6226522.09,NA
"V7",2327.1,26.8095294741728,5415394.41,NA
"V8",2371.5,29.7229040030499,5624012.25,NA
"V10",2325.91724137931,20.3187134869157,5409891.01374554,NA
"V2",2128.9,6.15196630434783,4532215.21,17.2173913043478
"V3",2141,6.62264705882353,4583881,18.2941176470588
"V4",2090.03448275862,2.3992975,4368244.13912009,-62
"V6",2102.05,13.5245,4418614.2025,-86
"V9",2071.4,5.29193021582734,4290697.96,-0.887290167865708
"V2",2566.5,3.70375,6586922.25,-141
"V5",2576.5,4.835856,6638352.25,15.08
"V6",2559.14482758621,2.51911,6549222.24856124,40
"V10",2484.9,6.41666710526316,6174728.01,-187.671052631579
"V7",2590.5,5.38205,6710690.25,-22
"V8",2533,3.52924095238095,6416089,50.7619047619048
"V10",2720.7,5.12493333333333,7402208.49,164
"V9",2718.89310344828,0.2500575,7392379.7079786,167
"V8",1718.6,4.61377096774194,2953585.96,-183
"V9",1970.9,6.79442553191489,3884446.81,-244
"V10",1989.65357142857,2.82553063063063,3958721.33429847,-134.198198198198
"V2",2670.15418719212,0.04084,7129723.3833796,43
"V3",2706.81354679803,14.0422357142857,7326839.57712933,-3.33333333333333
"V2",2563.1,5.65946,6569481.61,-180
"V5",2543.4,0.65759,6468883.56,14
"V6",2481.8,2.27353,6159331.24,-44
"V2",2414.6724137931,6.36971727272727,5830642.86593341,-5.96969696969697
"V3",2403.2,4.6181444015444,5775370.24,21.8918918918919
"V6",2511.86071428571,7.88878359375,6309444.24797194,169.4609375
"V7",2442.2,9.59434615384615,5964340.84,61
"V9",2383.3,2.19267152466368,5680118.89,122.360986547085
"V10",2351.0381773399,7.66270264993026,5527380.51130973,7.74895397489539
"V10",2924.3,2.51089405940594,8551530.49,213.19801980198
"V7",2003.85357142857,6.96140909090909,4015429.13572704,41
"V8",1964.3,3.34592988505747,3858474.49,69.0919540229885
"V10",2038.2,3.78580818181818,4154259.24,49.2727272727273
"V3",1791.76206896552,22.3441303560893,3210411.31178359,NA
"V4",1779.31034482759,17.203518710493,3165945.30321046,NA
"V7",1851.7,31.1771572141561,3428792.89,NA
