"","V1","V2"
"",NA,NA
"V5",1525.7,8.346
"V6",1554.9,1.043355
"V7",1397.7275862069,6.0784
"V4",1659.5,20.621625
"V6",1656.79310344828,1.058915
"V7",2091.8,15.8769657407407
"V9",2317.03571428571,37.7366792840376
"V10",2179.8,38.4741384144376
"V5",1830.65862068965,37.5455102702703
"V6",1901.7,17.6287660358566
"V7",1706.5,40.0675640720935
"V8",1737.05862068966,33.8480316455696
"V4",2186.44074986316,27.0262948275862
"V5",2168.67389162562,23.6829066003866
"V6",2189.1,38.9398384074942
"V7",2123.02681992337,34.3704992673993
"V8",2149.8,29.8183160529905
"V9",2326.3,22.4566433333333
"V3",2624.49655172414,26.7838642857143
"V3",2734.88275862069,15.1335886287625
"V4",2743.63571428571,23.2335376923077
"V10",2618.8,11.5536441252276
"V3",2231.06904761905,23.5492555555556
"V4",2248.40369458128,17.3614657575758
"V9",2368.47931034483,17.6523886974299
"V10",2178.2,36.3350133142202
"V4",1476.31724137931,29.2307590909091
"V6",1528.38177339901,16.3499323232323
"V8",1403.9,28.9765503927702
"V5",2452.4,31.5857470588235
"V6",2495.3,16.1503490659341
"V7",2327.1,25.296840582182
"V8",2371.5,16.9602520072019
"V10",2325.91724137931,16.8493261337593
"V2",2128.9,6.874075
"V3",2141,4.40039863713799
"V4",2090.03448275862,1.68567368421053
"V5",2099.1,0.401983333333333
"V6",2102.05,13.5245
"V2",2566.5,3.70375
"V5",2576.5,4.835856
"V6",2559.14482758621,2.51911
"V10",2484.9,4.14001489361702
"V8",1718.6,2.88603448275862
"V9",1970.9,7.311995256917
"V10",1989.65357142857,4.51078651252408
"V2",2670.15418719212,0.04084
"V2",2414.6724137931,11.0845555555556
"V3",2403.2,4.05482
"V7",2003.85357142857,6.96140909090909
"V8",1964.3,3.34592988505747
"V10",2038.2,3.78580818181818
"V4",1779.31034482759,13.5846707142857
"V6",2621.9,11.3318136590038
"V7",2444.3,35.3219010383174
"V8",2509.2,34.1948183038874
"V10",2532.5,38.9786958425313
"V5",2030.3,16.8841922463768
"V7",1830.71206896552,11.3730903157256
