"","V1","V2"
"",NA,NA
"V5",1525.7,8.346
"V6",1554.9,1.043355
"V7",1397.7275862069,6.0784
"V4",1659.5,20.621625
"V6",1656.79310344828,1.058915
"V8",1522.6,0.9659375
"V9",1648.34285714286,9.566175
"V10",1693.4,24.6113913043478
"V5",1477.65714285714,4.91789737662338
"V6",1562.74137931034,10.1173067204301
"V3",2781.9,9.26913875
"V4",2702.5,24.9508509355509
"V9",2606.21330049261,12.1298621796446
"V6",2305.7224137931,23.2987049129353
"V7",2091.8,26.7358346878016
"V9",2317.03571428571,30.7877079363375
"V10",2179.8,28.196033976769
"V5",1830.65862068965,24.9308979491833
"V6",1901.7,16.8394277140942
"V7",1706.5,38.5744079585625
"V8",1737.05862068966,35.3397892538841
"V4",2186.44074986316,30.9616524210526
"V5",2168.67389162562,31.0751662588905
"V6",2189.1,36.2287664766655
"V7",2123.02681992337,40.0657633350694
"V8",2149.8,29.3621611006592
"V9",2326.3,22.4566433333333
"V3",2624.49655172414,19.8473248120301
"V9",2733.6662835249,17.8090512986644
"V3",2734.88275862069,15.1335886287625
"V4",2743.63571428571,22.5751076923077
"V6",2807.28768472906,15.31590125
"V7",2728.3275862069,15.2185260869565
"V8",2605.7,28.0016856626861
"V10",2618.8,11.5536441252276
"V3",2231.06904761905,23.5492555555556
"V4",2248.40369458128,12.3572091319444
"V5",2323.5,24.4959688985507
"V6",2278.1,13.534050625
"V7",2250.4,18.7022498498498
"V8",2251.2,17.377109697588
"V9",2368.47931034483,17.5616345588782
"V10",2178.2,12.8925189184835
"V3",2392.41111111111,26.3893186915888
"V4",1476.31724137931,29.7452034330011
"V6",1528.38177339901,15.1150929608522
"V7",1414.8,32.1035343457745
"V8",1403.9,25.820592803436
"V9",1641.37142857143,25.6201120387549
"V10",1438.13928571429,14.2813371662959
"V3",2483.89655172414,16.6099315789474
"V4",2461.6,16.4119977922078
"V5",2452.4,29.4461625386997
"V6",2495.3,17.0856593178295
"V7",2327.1,24.3551590017825
"V8",2371.5,26.1048913307659
"V10",2325.91724137931,22.1231511373578
"V2",2128.9,5.990055
