"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V5",1525.7,8.346,2327760.49,6
"V6",1554.9,1.043355,2417714.01,-18
"V7",1397.7275862069,6.0784,1953642.40524376,123.571428571429
"V4",1659.5,20.621625,2753940.25,7
"V6",1656.79310344828,1.058915,2744963.38763377,-30
"V8",1522.6,0.9659375,2318310.76,115
"V9",1648.34285714286,9.566175,2717034.17469388,189
"V10",1693.4,24.6113913043478,2867603.56,11
"V5",1477.65714285714,4.91789737662338,2183470.63183673,NA
"V6",1562.74137931034,10.1173067204301,2442160.6186088,NA
"V3",2781.9,9.26913875,7738967.61,NA
"V4",2702.5,24.9508509355509,7303506.25,NA
"V9",2606.21330049261,12.1298621796446,6792347.76766459,NA
"V6",2305.7224137931,23.2987049129353,5316355.84946789,NA
"V7",2091.8,26.7358346878016,4375627.24,NA
"V9",2317.03571428571,30.7877079363375,5368654.50127551,NA
"V10",2179.8,28.196033976769,4751528.04,NA
"V5",1830.65862068965,24.9308979491833,3351310.98550535,NA
"V6",1901.7,16.8394277140942,3616462.89,NA
"V7",1706.5,38.5744079585625,2912142.25,NA
"V8",1737.05862068966,35.3397892538841,3017372.65171225,NA
"V4",2186.44074986316,30.9616524210526,4780523.15266219,NA
"V5",2168.67389162562,31.0751662588905,4703146.44821859,NA
"V6",2189.1,36.2287664766655,4792158.81,NA
"V7",2123.02681992337,40.0657633350694,4507242.87811395,NA
"V8",2149.8,29.3621611006592,4621640.04,NA
"V9",2326.3,22.4566433333333,5411671.69,NA
"V3",2624.49655172414,19.8473248120301,6887982.15001189,NA
"V9",2733.6662835249,17.8090512986644,7472931.34968086,NA
"V3",2734.88275862069,15.1335886287625,7479583.70340071,NA
"V4",2743.63571428571,22.5751076923077,7527536.93270408,NA
"V6",2807.28768472906,15.31590125,7880864.14483147,NA
"V7",2728.3275862069,15.2185260869565,7443771.41765755,NA
"V8",2605.7,28.0016856626861,6789672.49,NA
"V10",2618.8,11.5536441252276,6858113.44,NA
"V3",2231.06904761905,23.5492555555556,4977669.09524376,NA
"V4",2248.40369458128,12.3572091319444,5055319.17380675,NA
"V5",2323.5,24.4959688985507,5398652.25,NA
"V6",2278.1,13.534050625,5189739.61,NA
"V7",2250.4,18.7022498498498,5064300.16,NA
"V8",2251.2,17.377109697588,5067901.44,NA
"V9",2368.47931034483,17.5616345588782,5609694.24353151,NA
"V10",2178.2,12.8925189184835,4744555.24,NA
"V3",2392.41111111111,26.3893186915888,5723630.9245679,NA
"V4",1476.31724137931,29.7452034330011,2179512.59719382,NA
"V6",1528.38177339901,15.1150929608522,2335950.84525832,NA
"V7",1414.8,32.1035343457745,2001659.04,NA
"V8",1403.9,25.820592803436,1970935.21,NA
"V9",1641.37142857143,25.6201120387549,2694100.16653061,NA
"V10",1438.13928571429,14.2813371662959,2068244.6051148,NA
"V3",2483.89655172414,16.6099315789474,6169742.07966706,NA
"V4",2461.6,16.4119977922078,6059474.56,NA
"V5",2452.4,29.4461625386997,6014265.76,NA
"V6",2495.3,17.0856593178295,6226522.09,NA
"V7",2327.1,24.3551590017825,5415394.41,NA
"V8",2371.5,26.1048913307659,5624012.25,NA
"V10",2325.91724137931,22.1231511373578,5409891.01374554,NA
"V2",2128.9,5.990055,4532215.21,-11.84
"V3",2141,4.90311844077961,4583881,-301.484257871064
"V4",2090.03448275862,1.80978217391304,4368244.13912009,-360.217391304348
"V5",2099.1,0.401983333333333,4406220.81,-301
"V6",2102.05,13.5245,4418614.2025,-86
"V9",2071.4,4.89569469387755,4290697.96,-51.2469387755102
"V2",2566.5,3.70375,6586922.25,-141
"V5",2576.5,4.835856,6638352.25,15.08
"V6",2559.14482758621,2.51911,6549222.24856124,40
"V8",2389.8,6.69388888888889,5711144.04,-304
"V10",2484.9,6.41666710526316,6174728.01,-187.671052631579
"V5",2616.7,9.34016666666667,6847118.89,459.5
"V7",2590.5,7.47972013888889,6710690.25,134.277777777778
"V8",2533,19.3164550909091,6416089,295.236363636364
"V9",2691.64692118227,4.20197324561403,7244963.14830997,369.236842105263
"V10",2720.7,3.60669351851852,7402208.49,261.703703703704
"V9",2718.89310344828,0.2500575,7392379.7079786,167
"V8",1718.6,3.62836972789116,2953585.96,-302.428571428571
"V9",1970.9,7.311995256917,3884446.81,-296.118577075099
"V10",1989.65357142857,4.38501504273504,3958721.33429847,-269.579487179487
"V2",2670.15418719212,0.435606666666667,7129723.3833796,-209
