"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V5",1525.7,8.346,2327760.49,6
"V6",1554.9,1.043355,2417714.01,-18
"V7",1397.7275862069,6.0784,1953642.40524376,123.571428571429
"V4",1659.5,20.621625,2753940.25,7
"V6",1656.79310344828,1.058915,2744963.38763377,-30
"V7",2091.8,15.8769657407407,4375627.24,NA
"V9",2317.03571428571,37.7366792840376,5368654.50127551,NA
"V10",2179.8,38.4741384144376,4751528.04,NA
"V5",1830.65862068965,37.5455102702703,3351310.98550535,NA
"V6",1901.7,17.6287660358566,3616462.89,NA
"V7",1706.5,40.0675640720935,2912142.25,NA
"V8",1737.05862068966,33.8480316455696,3017372.65171225,NA
"V4",2186.44074986316,27.0262948275862,4780523.15266219,NA
"V5",2168.67389162562,22.9206733031674,4703146.44821859,NA
"V6",2189.1,34.4736473214286,4792158.81,NA
"V7",2123.02681992337,20.487402173913,4507242.87811395,NA
"V8",2149.8,36.6113831541919,4621640.04,NA
"V9",2326.3,23.8002604761905,5411671.69,NA
"V3",2624.49655172414,26.7838642857143,6887982.15001189,NA
"V3",2734.88275862069,12.07574,7479583.70340071,NA
"V4",2743.63571428571,18.0276380952381,7527536.93270408,NA
"V3",2231.06904761905,23.5492555555556,4977669.09524376,NA
"V8",1403.9,22.999476854928,1970935.21,NA
"V5",2452.4,31.5857470588235,6014265.76,NA
"V6",2495.3,16.8334988095238,6226522.09,NA
"V7",2327.1,26.8095294741728,5415394.41,NA
"V8",2371.5,21.632396969697,5624012.25,NA
"V10",2325.91724137931,10.9805273631841,5409891.01374554,NA
"V2",2128.9,7.972475,4532215.21,-96.5
"V3",2141,4.87226666666667,4583881,55
"V6",2102.05,13.5245,4418614.2025,-86
"V2",2566.5,3.70375,6586922.25,-141
"V5",2576.5,4.835856,6638352.25,15.08
"V6",2559.14482758621,2.51911,6549222.24856124,40
"V10",2484.9,4.14001489361702,6174728.01,-180.063829787234
"V9",1970.9,6.79442553191489,3884446.81,-244
"V10",1989.65357142857,2.58418076923077,3958721.33429847,-156.948717948718
"V2",2670.15418719212,0.04084,7129723.3833796,43
"V2",2414.6724137931,11.0845555555556,5830642.86593341,51
"V3",2403.2,4.05482,5775370.24,75.75
"V7",2003.85357142857,6.96140909090909,4015429.13572704,41
"V8",1964.3,3.34592988505747,3858474.49,69.0919540229885
"V10",2038.2,3.78580818181818,4154259.24,49.2727272727273
"V4",1779.31034482759,13.5846707142857,3165945.30321046,NA
"V6",2621.9,11.3318136590038,6874359.61,NA
"V7",2444.3,35.3219010383174,5974602.49,NA
"V8",2509.2,34.1948183038874,6296084.64,NA
"V10",2532.5,38.9786958425313,6413556.25,NA
"V7",1830.71206896552,11.3730903157256,3351506.679456,NA
"V8",1827.82142857143,4.04220116054159,3340931.1747449,NA
"V9",2042.2,4.68329617495014,4170580.84,NA
"V10",1793,9.67616458789783,3214849,NA
"V6",2013,3.22029338842975,4052169,90.3719008264463
"V7",1993.99655172414,6.43803365384615,3976022.24828775,68.1538461538462
"V9",1815.2,2.56109333333333,3294951.04,31.443137254902
"V10",1770.3,10.4532141652614,3133962.09,-25.4030354131535
"V1",2576.8,6.80655078683834,6639898.24,184.904148783977
"V3",2564.3,11.700248392283,6575634.49,153.879421221865
"V4",2627.5,20.9331558787879,6903756.25,178.923232323232
"V5",2615.9,2.38312398148148,6842932.81,166.759259259259
"V6",2522.67586206897,30.3536042876284,6363893.5050654,122.488164359089
"V7",2476.6,8.16751176798662,6133547.56,115.741773563859
"V8",2404.7,3.9134890776699,5782582.09,184.004247572816
"V2",1949.71527093596,5.61719895424837,3801389.63772089,-45.7483660130719
"V3",1901,11.5529180645161,3613801,-6.93548387096774
"V5",1975.3,10.1081849514563,3901810.09,-27.4757281553398
"V6",1965.8,18.1727744870651,3864369.64,-142.904103479037
"V7",1834.03333333333,7.38728968421053,3363678.26777778,-85.5705263157895
"V3",2726.7,15.4415870967742,7434892.89,-12.9354838709677
"V9",2650.1,5.59841666666667,7023030.01,234.074074074074
"V10",2570.10038314176,6.5158,6605415.97942543,224
"V8",1745,5.480334,3045025,NA
"V9",2089.7,4.95744894894895,4366846.09,NA
"V10",1751.8,13.040915,3068803.24,NA
"V9",1785.2,3.25005128205128,3186939.04,20
"V2",1626.9,26.9822666666667,2646803.61,178
"V3",1620.5,5.98105571428571,2626020.25,-216.714285714286
"V5",2089.5,14.6475253546099,4366010.25,NA
"V8",2126,6.57755595238095,4519876,NA
