"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"81",NA,NA,NA,3.9314025,NA,NA,NA,NA,32.7658973770492,9.79490838530838
"82",NA,3.25965909090909,6.13352,12.0035529411765,7.06648070539419,9.55584883546206,4.8898952,1.97414,3.27069885583524,6.90165714285714
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.68735956727519
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,10.80325,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,7.18919619909502,9.33679,NA,NA,NA,NA,3.159788,16.8002963947991
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,2.43342782608696,2.74534194029851,7.39352337662338,1.77247777777778,10.8856534653465,8.32392281659389,10.9336531826294,3.85191956087824,17.300810989011
"93",NA,NA,6.77283833333333,NA,NA,5.62973865248227,NA,NA,NA,NA
"94",NA,NA,NA,4.75648423076923,NA,NA,NA,NA,NA,NA
"95",NA,NA,2.61652222222222,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",6.24086956521739,8.72531428571429,NA,NA,NA,1.21225789473684,16.3176451612903,10.9708260869565,12.31108,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,8.65016470588235,9.76066071428571,NA,NA,NA
