ao,semestre,cod_lote,edad,id_mesesdecosecha,cent_x,cent_y
2002,1,50300101103,9.9,2,816939,1158159
2002,1,50300133703,42.2,2,818290,1163243
2002,2,50300135001,24.2,2,817547,1163294
2002,2,50340000403,9.3,2,791782,1121762
2002,2,50340000804,6.4,2,791214,1121908
2002,2,50340014601,1.6,2,795898,1121481
2002,2,50340016502,12.5,2,795934,1120688
2002,1,50340046503,1.6,2,800077,1123743
2002,2,50340046701,2.6,1,799830,1123208
2002,2,50340047206,5.3,2,802550,1122244
2002,2,50340048702,4.6,2,801431,1123028
2002,1,50340055211,3.7,2,802509,1122874
2002,1,50340056401,4.8,2,803166,1123066
2002,1,50340070303,3,2,804933,1122417
2002,1,50340085701,14,2,788020,1119565
2002,1,50340088113,1.7,2,788261,1121359
2002,2,50340123901,9.4,2,794369,1114941
2002,1,50340143901,9.7,2,796768,1119344
2002,2,50340148601,12.4,2,798815,1119650
2002,1,50340158201,3.8,2,797506,1113368
2002,1,50340158404,9.6,2,797954,1113942
2002,2,50340163202,11.2,2,796104,1114445
2002,2,50340208401,1.4,2,799381,1119793
2002,1,50340209201,13,2,800340,1119019
2002,1,50340344501,4,2,797785,1120655
2002,1,50340400203,13,2,794598,1113484
2002,2,50360019701,7.6,2,816242,1164344
2002,2,50360020901,3.3,2,817170,1165552
2002,2,50360021601,56.3,2,815044,1164983
2002,1,50360043702,17.2,2,815574,1164377
2002,1,50360056301,11,2,816486,1165681
2002,2,50400020201,9.9,1,876454,1257982
2002,2,50400020601,3.5,1,876609,1257209
2002,1,50400021501,18.2,1,880052,1259643
2002,2,50400023602,1.6,1,880117,1257949
2002,1,50400044402,9.4,1,877447,1259228
2002,1,50400053902,10.7,1,877659,1258552
2002,1,50420038401,9.6,1,791451,1211417
2002,1,50420043001,10,1,793110,1210852
2002,2,50420122101,11.4,1,790178,1212077
2002,1,50420123001,11.6,1,789857,1211550
2002,2,50420159003,17.1,1,792986,1214877
2002,1,50420165704,9,1,794557,1212048
2002,1,50420239102,7.3,1,791922,1213055
2002,2,50420245402,10.6,1,793402,1213857
2002,2,50420279602,7.3,1,790597,1212315
2002,2,50440008001,7.2,1,797856,1196934
2002,2,50440091901,8.3,1,797449,1197444
2002,1,50440102101,7.4,1,798545,1196490
2002,2,50440162402,7.8,1,798650,1197492
2002,1,50550067801,21.8,1,884489,1124734
2002,2,50910037502,15.6,1,792699,1126404
2002,2,50910046004,9.5,1,792777,1123862
2002,2,50910047012,3.2,1,792146,1124397
2002,2,50910055806,3.4,1,794846,1125031
2002,2,50910061102,15.5,1,793872,1124342
2002,1,50910062802,16.1,1,796529,1125524
2002,2,50910065303,39.7,1,795213,1123969
2002,1,50910066501,12,1,794084,1123877
2002,1,50910068603,12.1,1,795957,1122839
2002,1,50910070722,0,1,797572,1124963
2002,2,50910073203,1.6,1,797108,1126466
2002,1,50910081701,2.1,1,796489,1122812
2002,1,50930164301,10,1,787341,1165558
2002,2,50930170501,3.5,1,789297,1169771
2002,2,50930173105,18.5,1,789884,1168541
2002,1,50930175102,3,1,789261,1168187
2002,2,50930175606,10.5,1,788251,1166763
2002,2,50930177602,12.4,1,789894,1165332
2002,2,50930179011,7.2,1,790162,1166761
2002,1,50930285209,9.8,1,790194,1165819
2002,2,51010001706,3.1,1,781765,1144591
2002,1,51010028801,10,1,780963,1132274
2002,2,51010031706,3.2,1,782368,1137628
2002,1,51010034802,.2,1,781837,1137085
2002,1,51010035304,7.7,1,781707,1137956
2002,1,51010038203,11.1,1,783799,1132490
2002,1,51010038503,2.6,1,783926,1137315
2002,1,51010039102,16,1,783895,1136883
2002,1,51010049304,2,1,786652,1137105
2002,1,51010083102,11.8,1,789158,1142148
2002,2,51010099002,4.5,1,785329,1143479
2002,2,51010105801,2.1,1,791781,1144676
2002,1,51010119702,5.9,1,786838,1143715
2002,1,51010126502,9.8,1,781686,1144363
2002,1,51010188601,8,1,782725,1144896
2002,1,51010192102,1.8,1,782086,1134911
2002,2,51070002901,11.4,1,832261,1283740
2002,2,51070089401,3.2,1,834503,1282854
2002,1,51130012202,16.6,1,799914,1256444
2002,2,51130012403,12.3,1,798921,1253662
2002,2,51130078901,11.9,1,800327,1253615
2002,2,51130082901,11.3,1,801387,1253179
2002,2,51130084201,22.1,1,801246,1252725
2002,2,51250005001,6.5,1,789255,1206415
2002,2,51250005801,20.5,1,789022,1205978
2002,1,51250008801,6.9,1,788971,1204103
2002,2,51250022802,12.3,1,789786,1203891
2002,1,51250035801,8,1,790592,1204143
2002,1,51250099001,1.8,1,796343,1198158
2002,2,51250108801,8.9,1,786399,1203412
2002,1,51250112401,12.9,1,796416,1196420
2002,1,51250176501,12,1,796090,1198332
2002,1,51250183302,13.1,1,787373,1202620
2002,2,51290020101,7.4,2,826683,1155729
2002,2,51380028301,12.3,1,782487,1254028
2002,2,51380028702,3.4,1,781893,1254281
2002,2,51380032301,22.7,1,782698,1255943
2002,2,51380051501,12.7,1,787927,1255224
2002,2,51380113901,8.3,1,780516,1240409
2002,2,51380127103,19.4,1,784084,1247788
2002,1,51380149501,12.9,1,785456,1247025
2002,1,51380163802,18.9,1,780940,1239093
2002,2,51380165401,6.3,1,782353,1237986
2002,1,51380166901,16.9,1,782000,1239181
2002,2,51380174901,10.5,1,784741,1239325
2002,1,51380201201,9.8,1,786066,1234036
2002,1,51380202406,12.9,1,786515,1234655
2002,2,51380221201,1.3,1,785201,1238350
2002,2,51380290001,2.4,1,781791,1247386
2002,1,51380334901,15,1,782158,1247509
2002,2,51380390502,3.4,1,784157,1237334
2002,1,51380453604,5.1,1,781188,1247204
2002,1,51380495401,9.1,1,787280,1234832
2002,2,51450002201,3.2,2,822860,1108546
2002,1,51450126203,8.2,2,822479,1109204
2002,2,51480003301,11.4,1,872282,1160087
2002,2,51480005802,73.3,1,872961,1159404
2002,1,51480007101,26.8,1,871806,1159279
2002,2,51500001701,2.1,1,868799,1242480
2002,1,51900006301,10.9,1,887541,1216325
2002,1,51900007501,2.3,1,886437,1215571
2002,2,51900019001,20,1,888963,1214013
2002,2,51900031201,10.5,1,887986,1219693
2002,1,51970006601,10.4,1,878109,1163104
2002,1,51970048001,10.4,1,878870,1165078
2002,1,51970056203,8.2,1,878974,1166582
2002,1,51970177603,10.3,1,874008,1160629
2002,2,51970182001,10.9,1,872974,1160684
2002,2,52090012002,12.6,1,792203,1160819
2002,1,52090051702,9.8,1,794008,1162407
2002,2,52090053802,9.5,1,795784,1161099
2002,2,52090064508,6.3,1,793804,1160836
2002,2,52090072901,2,1,796290,1165143
2002,2,52090108202,2.1,1,795110,1160443
2002,1,52090153401,4,2,796945,1154097
2002,1,52090154708,2.7,2,797578,1154771
2002,2,52090165007,4.2,2,795742,1152714
2002,1,52090187105,8.8,1,794867,1162001
2002,2,52090191902,8.5,1,794202,1163031
2002,1,52090221205,15,2,796066,1152007
2002,1,52370019701,10.7,1,868622,1216809
2002,1,52370030401,13,1,865084,1215724
2002,1,52370035802,7.7,1,867175,1214439
2002,1,52370053302,9.5,1,868567,1215876
2002,2,52400029001,10.5,1,813519,1192243
2002,1,52400051401,24.2,1,814763,1192620
2002,2,52400068501,11.8,1,817064,1191991
2002,1,52400080701,26.3,1,815941,1190150
2002,2,52400117602,7.2,1,812680,1183568
2002,1,52400146401,14.5,1,813165,1189137
2002,2,52400166602,10.3,1,814522,1184434
2002,2,52400166702,7.6,1,814149,1183564
2002,2,52400166801,9.8,1,813418,1183215
2002,2,52400181202,17.6,1,814594,1190129
2002,1,52400238801,12.3,1,814037,1190670
2002,2,52400317302,3.4,1,816128,1191414
2002,2,52820002502,42.4,2,823818,1153705
2002,1,52820116501,15,2,826951,1154128
2002,1,52820130102,22.3,2,826572,1152483
2002,1,52820141402,11,2,824115,1154822
2002,2,52820143907,14.5,2,824746,1154130
2002,1,52820148301,2.7,2,825630,1153576
2002,1,52820151315,52.3,2,825565,1152080
2002,2,52820154602,3.1,2,814893,1146128
2002,1,52840035301,10.4,1,770651,1246087
2002,1,52840039401,11.8,1,768266,1246830
2002,1,52840124501,62.9,1,772236,1246907
2002,1,52840124701,6.7,1,773879,1245046
2002,1,53060010401,11.5,1,794806,1231801
2002,1,53060012001,3.9,1,791145,1232112
2002,2,53060015301,7.3,1,792589,1232180
2002,2,53060016101,7.9,1,791821,1232583
2002,1,53060031201,10.4,1,793591,1229483
2002,2,53060090701,11,1,794753,1231324
2002,2,53060098402,10,1,792469,1231314
2002,2,53100000201,12.4,1,870654,1241318
2002,2,53100034901,6.4,1,877958,1233322
2002,2,53100044801,3.3,1,881158,1235032
2002,2,53100075702,3.5,1,881349,1232867
2002,2,53130023502,3.5,1,880730,1163198
2002,1,53130087301,17,1,886930,1167181
2002,1,53130090201,15,1,887659,1166330
2002,1,53150014701,16.1,1,872175,1245288
2002,1,53150083201,4,1,874053,1244377
2002,1,53150083801,5.8,1,874956,1246781
2002,1,53470016201,9.7,1,815155,1183376
2002,1,53470019804,6.4,1,815892,1182225
2002,1,53470046801,9,2,817383,1175318
2002,2,53470067601,8.5,2,819158,1173926
2002,1,53470074501,11.2,1,812564,1182673
2002,1,53470086502,14,1,814702,1183651
2002,1,53470121307,11.8,2,817374,1174483
2002,2,53470134401,9.5,2,818101,1173993
2002,2,53530006301,3.5,2,799149,1133964
2002,2,53530014201,12.3,2,800229,1134157
2002,1,53530018202,16,2,800276,1131078
2002,1,53530019402,11.9,2,799867,1130577
2002,2,53530021505,2.6,2,799406,1130010
2002,1,53610010501,12.8,1,807152,1294180
2002,2,53610015001,15,1,808689,1294868
2002,1,53610016001,9.9,1,809377,1293719
2002,2,53610221004,9.2,1,803664,1294451
2002,2,53610223801,6.5,1,808145,1293483
2002,1,53640028803,8.9,2,802858,1111150
2002,1,53640031201,2.8,2,802053,1111871
2002,1,53640049201,4.8,2,805054,1112948
2002,2,53640059603,7.5,2,803393,1111881
2002,1,53640063502,6.9,2,804161,1111545
2002,1,53640154703,7,2,807521,1111553
2002,2,53640155601,6.3,2,806493,1112013
2002,1,53640157503,4.9,2,806445,1113446
2002,2,53640168102,1.4,2,807886,1111804
2002,1,53680023103,8.2,2,813735,1133803
2002,2,53680023201,9.1,2,814395,1133905
2002,1,53680026401,12.9,2,815039,1132677
2002,2,53680028601,2.4,2,813564,1131942
2002,2,53680032301,14.1,2,813240,1133529
2002,2,53680037209,1.4,2,812451,1131853
2002,1,53680039803,6.9,2,813954,1132677
2002,1,53680095605,15.1,2,813934,1134798
2002,1,54110046301,14.1,1,810770,1235134
2002,2,54110129905,4.4,1,808875,1234071
2002,2,54110268603,1.4,1,811628,1234808
2002,1,54670115901,37.3,2,834040,1151250
2002,1,54670179401,41.9,2,836113,1149614
2002,2,54830091201,9.6,1,873453,1102222
2002,1,54830094601,6.8,1,874115,1103625
2002,1,54830218103,18.1,1,874487,1103933
2002,2,54830223904,13.3,1,871841,1104225
2002,2,54830262701,21.6,1,874992,1102272
2002,2,55430000101,10.5,1,791851,1270127
2002,2,55430029901,10.7,1,793496,1269898
2002,1,55430030201,10.5,1,793265,1268333
2002,2,55430033301,10.1,1,794784,1268247
2002,1,55430038501,10.8,1,794705,1268956
2002,1,55430047302,9.9,1,796600,1268597
2002,2,55430071701,9.6,1,801162,1258799
2002,1,55430081802,11.8,1,803177,1258869
2002,1,55430081901,19,1,803843,1257498
2002,1,55430133005,15.1,1,795844,1269833
2002,2,55430134603,22.7,1,795644,1268362
2002,1,55430203301,17.2,1,802873,1255712
2002,1,55760015402,5.1,2,804395,1132305
2002,2,55760016801,9,2,805124,1133005
2002,1,55760020702,4.7,2,802242,1133928
2002,1,55760020906,3.6,2,801900,1134013
2002,1,55760025208,10.5,2,802207,1132400
2002,2,55760059503,3.2,2,802269,1131198
2002,2,55760092104,3.2,2,804431,1134741
2002,1,55760100805,16.1,2,806168,1133743
2002,2,56280147401,11.5,1,807432,1246327
2002,2,56280184101,2.4,1,807854,1243438
2002,1,56280196403,14,1,808731,1241554
2002,2,56280229901,10.3,1,810848,1247716
2002,1,56280254301,9,1,809745,1245669
2002,1,56420001202,10.8,1,785822,1159554
2002,2,56420006201,6.6,1,786903,1161409
2002,2,56420008401,11.5,1,787820,1161855
2002,1,56420013001,8.9,1,789603,1159966
2002,1,56420014801,7.3,1,790480,1159817
2002,2,56420017301,16.6,1,783460,1159809
2002,1,56420023905,6.9,1,785679,1157945
2002,2,56420027902,10.4,1,785675,1157279
2002,1,56420031401,10.9,1,785200,1156449
2002,2,56420054305,7.2,1,790250,1156700
2002,1,56420062904,6.3,1,790741,1154431
2002,1,56420067104,8,1,791081,1158892
2002,1,56420067114,8,1,790761,1158301
2002,2,56420070001,6.5,1,790398,1158197
2002,1,56420079401,12,1,789808,1157645
2002,1,56420093004,10.8,1,783264,1150228
2002,1,56420093107,8.5,1,782938,1150091
2002,1,56420098503,1.9,1,785254,1150018
2002,2,56420105103,6.6,1,787184,1147596
2002,1,56420105506,6.1,1,788432,1147657
2002,2,56420107502,11.4,1,788608,1146716
2002,2,56420111201,8.2,1,786454,1147410
2002,1,56420126102,6.6,1,790298,1147584
2002,1,56420126902,9.8,1,791057,1148093
2002,2,56420144201,7.6,1,797106,1147830
2002,1,56420152804,7,1,793098,1147846
2002,2,56420155802,11.3,1,793957,1147760
2002,1,56420179201,3.6,1,792274,1157811
2002,2,56420198404,4.2,1,784773,1158701
2002,1,56420205201,11,1,788427,1158165
2002,2,56420210801,9.5,1,787715,1156357
2002,1,56420215903,11.1,1,790881,1158978
2002,1,56420226004,11.8,1,786549,1149089
2002,2,56420230606,7.1,1,786309,1149774
