"","cod_lote","ao","semestre","cosecha","sta_num","heat_index","distance","elev_diff"
"83","666820063801","2001","2","1","26135090","2052.82275862069","8476.75985249052","-160"
"84","666820067503","2001","1","2","35","2419.9","3058.20076840072","96"
"85","666820072704","2001","1","2","35","2419.9","2446.42973160702","185"
"86","666820119103","2001","2","1","26135090","2052.82275862069","2422.76660405033","-160"
"87","666820129201","2001","2","1","12","1928.9","2941.99808630561","-7"
"88","666820129213","2001","2","1","12","1928.9","1746.36667518625","-47"
"89","685720204401","2001","2","2","26135090","2052.82275862069","4915.07958881967","122"
"90","736240118101","2001","2","1","26135090","2052.82275862069","4805.0393535651","-79"
"91","736240125202","2001","1","2","26135090",".","3920.26821279468","97"
"92","736240126901","2001","1","2","23125060",".","19659.4780680041","-1345"
"93","736240127902","2001","2","1","21215140",".","10264.4444012112","39"
"94","736240145902","2001","1","2","22075030",".","2501.7826770888","-292"
"95","736240153701","2001","2","1","22075030","1368.68","5373.19688687266","-603"
"96","736240155301","2001","2","1","22075030","1368.68","6906.23233597083","-711"
"97","50010011001","2002","1","1","26215020",".","14643.3357030024","1219"
"98","50010030401","2002","1","1","27015090",".","14858.2398689008","582"
"99","50010042202","2002","2","2","27015270",".","5899.26605726999","565"
"100","50010078601","2002","1","1","26175040","3267.15714285714","19005.4928420239","1571"
"101","50010116601","2002","2","2","26185010",".","18652.8244323634","-753"
"102","50010121201","2002","2","2","26185020","1083.47793103448","20421.6091247299","-289"
"103","50020105802","2002","2","1","26185020","1083.47793103448","20294.0218625216","-291"
"104","50020107504","2002","2","1","26185010",".","20687.8145236159","-322"
"105","50020110002","2002","2","1","23085210",".","7428.30473590158","357"
"106","50020110301","2002","2","1","23085210",".","6400.73184534682","291"
"107","50020122301","2002","1","2","23085030","1974.2","7969.60572094785","-460"
"108","50020123702","2002","2","1","15","2279.8","7196.06187420467","-60"
"109","50020132213","2002","1","2","15","2350.4","7701.13569767168","60"
"110","50020134701","2002","2","1","27015260",".","10689.0441053501","-102"
"111","50020135901","2002","2","1","26195020","2575","2372.95752314585","20"
"112","50020137404","2002","2","1","26195020","2575","2690.41782598696","373"
"113","50020141201","2002","1","2","26195020","2416.78","3349.57925827921","479"
"114","50020142001","2002","2","1","26195020","2575","4774.61982484242","608"
"115","50020154102","2002","1","2","26195020","2416.78","12386.1943284179","830"
"116","50020171204","2002","1","2","26195020","2416.78","12011.7848440748","625"
"117","50210048202","2002","1","1","26195020","2416.78","4052.29590847197","455"
"118","50210081301","2002","1","1","26195020","2416.78","8474.50442802597","452"
