"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"102",21125020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.8,3505.2,3646.36,3047.35034482759,453.74,3472.91,NA,NA,530.82,3311.14551724138,3728.1,3435.41448275862,3521.01517241379,NA,NA,NA,NA,NA
"103",21125040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",21135020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.62,3249.96,3423.39111111111,3363.43287356322,3182.50857142857,3278.09862068966,3260.50222222222,3586.64889162562,3723.24482758621,3271.08428571429,3980.53285714286,3576.06,585.62,NA,NA,NA,NA,NA
"105",21135030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.116428571429,3778.32,3946.91379310345,3994.14714285714,3954.04428571429,3911.44,3779.85403940887,3906.46997536946,3722.5947044335,3713.06,4000.48,3645.26,3836.6524137931,3793.62,3435.68,657.42,NA,NA
"106",21135040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.42,3886.88,3995.42642857143,4161.1,4006.56,3996.24,3757.78,3621.845,3484.18275862069,3556.46722222222,NA,NA,NA,NA,NA,NA,NA,NA
"107",21135050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.54,1779.82,1614.94,1462.655,1480.70444444444,1933.28827586207,1897.09310344828,1587.6,1817.93566502463,1819.80827586207,1865.17310344828,1721.86756157636,1685.62428571429,1604.335,1331.6,1453.94,NA,NA
"108",21145060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.26,1698.84,1738.2,2001.1,2027.06,2453.805,2194.58666666667,1610.26,240.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",21145070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.4,1074.12,621.32,1200.94,868.88,117.98,167.34,1441.7,191.42,169.84,1845.14068965517,NA,193.58,1375.42,144.88,NA,NA,NA
"110",21145080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.52,1954.14873015873,2124.70059386973,1927.79071428571,2124.07650246305,1931.42238095238,219.48,1657.28,1512.46,1610.62,1898.23,1873.10357142857,313.72,2033.34,2155.89793103448,2100.22285714286,NA,NA
"111",21155040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.72,2341.3,2438.3,2475.6,2396.71111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",21165010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.02,3774.14,3894.54,3849.34,3581.41172413793,3960.4,562,3844.82691297209,3717.18666666667,3699.66,3862.14,3733.18935960591,NA,NA,NA,NA,NA,NA
"113",21165030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.82,3318.26,3517.60068965517,355.74,2616.12,3533.48206896552,3541.43224137931,3658.76285714286,3466.27428571429,3450.21655172414,3670.28,3476.61571428571,NA,NA,NA,NA,NA,NA
"114",21185020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.62,3877.78,3994.36,4061.41103448276,3427.47862068966,3596.90280788177,3842.78,3681.92142857143,3939.3,3552.38,4079.08,NA,NA,NA,NA,NA,NA,NA
"115",21185030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.251034482759,3906.61866995074,3425.31517241379,3420.48285714286,2267.28,2446.92,505.42,2613.66,3335.74231527094,3567.29356048166,3395.95793103448,3679.88,NA,537.6,NA,NA,NA,NA
"116",21185040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.32,4034.6,4135.86,3998.66,3482.66,4123.76620689655,4135.48,4111.68,4059.2,3956.08,4243.7,4041,4063.64,NA,NA,NA,NA,NA
"117",21185080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.12,3398.2,3525.46,3496.56,3460.7,3475.19793103448,3558.5,3504.63555555556,3426.08,3353.56,3586.46,3396.29310344828,NA,NA,NA,NA,NA,NA
"118",21195060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.3,2574.19108374384,2535.2,2777.59381773399,3062.29698960044,2969.24,3012.67357142857,2979.15,2937,2955.68,3230.02022988506,2924.28,2934.5,NA,468.22,2936.73093596059,2362.64,NA
"119",21195070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.82,1346.61142857143,NA,NA,196.82,162.1,1215.95475369458,1292.98,1257,1173.62444444444,1235.35637931034,1115.07315270936,1180.42,NA,198.02,1282.94285714286,NA,NA
